id,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,guests_included,extra_people,minimum_nights
6343866,98103,Apartment,Entire home/apt,4,1.0,2.0,3.0,99.0,100.0,1,0,2
4130112,98105,House,Entire home/apt,6,1.5,3.0,4.0,195.0,75.0,5,1,5
4026757,98103,House,Private room,2,2.0,1.0,1.0,55.0,25.0,1,1,1
9545281,98103,Apartment,Entire home/apt,2,1.0,1.0,1.0,90.0,0.0,1,0,1
3294804,98103,Apartment,Entire home/apt,4,1.0,1.0,1.0,119.0,50.0,2,1,2
4122325,98115,House,Entire home/apt,5,2.0,3.0,3.0,175.0,0.0,5,0,2
8308353,98103,House,Private room,2,1.0,1.0,1.0,65.0,0.0,1,1,1
7226013,98103,Apartment,Private room,2,1.0,1.0,1.0,75.0,0.0,1,0,1
5761290,98103,House,Entire home/apt,4,1.0,2.0,2.0,126.0,65.0,2,1,2
182716,98103,House,Private room,2,1.0,1.0,1.0,70.0,0.0,1,1,2
